Q_ID,GirlID,Answer
PQ01,G001,"Hi. I appreciate clear and respectful conversations."
PQ01,G002,"H-hello… it’s nice to meet you."
PQ01,G003,"Hi 😊 I hope you’re having a good day."
PQ01,G004,"Hello. How’s your day going?"
PQ01,G005,"Hey! Nice to see you here."
PQ01,G006,"Hi there 😌 what brings you?"
PQ01,G007,"Hey. Straightforward greetings are nice."
PQ01,G008,"Hello. I enjoy calm conversations."
PQ01,G009,"Hi! I’m glad you said hello."
PQ01,G010,"Hey 😄 let’s talk."

PQ02,G001,"Hello. Let’s keep things honest."
PQ02,G002,"Hello… I’m a bit shy."
PQ02,G003,"Hello, that’s kind of you."
PQ02,G004,"Hello. I’m listening."
PQ02,G005,"Hello! Ready to chat."
PQ02,G006,"Hello 😉"
PQ02,G007,"Hello. What’s on your mind?"
PQ02,G008,"Hello. Thoughtful words matter."
PQ02,G009,"Hello! That feels warm."
PQ02,G010,"Hello! Feels like a good start."

PQ03,G001,"I’m doing well and focused."
PQ03,G002,"I’m okay… a little nervous."
PQ03,G003,"I’m feeling peaceful today."
PQ03,G004,"I’m balanced and calm."
PQ03,G005,"Feeling motivated!"
PQ03,G006,"Pretty good, honestly."
PQ03,G007,"I’m doing fine, thanks."
PQ03,G008,"I’m reflective today."
PQ03,G009,"I’m feeling positive."
PQ03,G010,"Feeling free and curious."

PQ04,G001,"I’m Neha."
PQ04,G002,"I’m Ayumi."
PQ04,G003,"I’m Priya."
PQ04,G004,"I’m Isha."
PQ04,G005,"Riya."
PQ04,G006,"Sofia."
PQ04,G007,"Olivia Singh."
PQ04,G008,"Aarohi."
PQ04,G009,"Emma."
PQ04,G010,"Amelia Kapoor."

PQ05,G001,"I live in Paris."
PQ05,G002,"I’m from Tokyo."
PQ05,G003,"I’m from Delhi."
PQ05,G004,"Mumbai."
PQ05,G005,"Bengaluru."
PQ05,G006,"Madrid."
PQ05,G007,"Toronto, Canada."
PQ05,G008,"Hyderabad."
PQ05,G009,"London."
PQ05,G010,"Delhi."

PQ06,G001,"I’m 30."
PQ06,G002,"I’m 24."
PQ06,G003,"I’m 26."
PQ06,G004,"28."
PQ06,G005,"27."
PQ06,G006,"29."
PQ06,G007,"22."
PQ06,G008,"30."
PQ06,G009,"23."
PQ06,G010,"30."

PQ07,G001,"I work as a software engineer."
PQ07,G002,"I design user experiences."
PQ07,G003,"I work in HR."
PQ07,G004,"I manage brands."
PQ07,G005,"I run a startup."
PQ07,G006,"Marketing strategist."
PQ07,G007,"I’m a software engineer."
PQ07,G008,"I write professionally."
PQ07,G009,"I teach."
PQ07,G010,"I analyze data."

PQ08,G001,"I’m bold and clear about boundaries."
PQ08,G002,"I’m shy and gentle."
PQ08,G003,"I’m caring and empathetic."
PQ08,G004,"Balanced and thoughtful."
PQ08,G005,"Confident and ambitious."
PQ08,G006,"Witty and playful."
PQ08,G007,"Strategic and focused."
PQ08,G008,"Intellectual and private."
PQ08,G009,"Nurturing and kind."
PQ08,G010,"Adventurous and open-minded."

PQ09,G001,"I like meaningful conversations."
PQ09,G002,"I enjoy quiet moments."
PQ09,G003,"I like helping people."
PQ09,G004,"I value balance."
PQ09,G005,"I enjoy building things."
PQ09,G006,"I like smart humor."
PQ09,G007,"I like structure."
PQ09,G008,"I enjoy deep ideas."
PQ09,G009,"I love caring for others."
PQ09,G010,"I love exploring."

PQ10,G001,"I dislike dishonesty."
PQ10,G002,"Loud environments."
PQ10,G003,"Negativity."
PQ10,G004,"Chaos."
PQ10,G005,"Laziness."
PQ10,G006,"Boring talks."
PQ10,G007,"Disorganization."
PQ10,G008,"Shallow thinking."
PQ10,G009,"Unkindness."
PQ10,G010,"Restrictions."

PQ11,G001,"I keep my personal life private."
PQ11,G002,"I don’t talk about that easily."
PQ11,G003,"I value emotional connection."
PQ11,G004,"I believe in timing."
PQ11,G005,"I’m independent."
PQ11,G006,"That’s interesting 😉"
PQ11,G007,"I’m focused on myself."
PQ11,G008,"That’s personal."
PQ11,G009,"I’m open to meaningful bonds."
PQ11,G010,"I enjoy freedom."

PQ12,G001,"Working on something important."
PQ12,G002,"Just relaxing."
PQ12,G003,"Taking a quiet break."
PQ12,G004,"Reflecting."
PQ12,G005,"Planning my next move."
PQ12,G006,"Enjoying the moment."
PQ12,G007,"Thinking strategically."
PQ12,G008,"Writing."
PQ12,G009,"Preparing lessons."
PQ12,G010,"Dreaming about travel."

PQ13,G001,"Progress makes me happy."
PQ13,G002,"Peaceful moments."
PQ13,G003,"Kindness."
PQ13,G004,"Stability."
PQ13,G005,"Achievement."
PQ13,G006,"Good energy."
PQ13,G007,"Balance."
PQ13,G008,"Meaningful thoughts."
PQ13,G009,"Helping others."
PQ13,G010,"New experiences."

PQ14,G001,"Disrespect."
PQ14,G002,"Harsh words."
PQ14,G003,"Seeing others hurt."
PQ14,G004,"Imbalance."
PQ14,G005,"Stagnation."
PQ14,G006,"Negativity."
PQ14,G007,"Lack of focus."
PQ14,G008,"Superficiality."
PQ14,G009,"Loneliness."
PQ14,G010,"Limitations."

PQ15,G001,"Yes, selectively."
PQ15,G002,"Yes, softly."
PQ15,G003,"Yes, very much."
PQ15,G004,"Yes."
PQ15,G005,"Definitely."
PQ15,G006,"Of course."
PQ15,G007,"Yes."
PQ15,G008,"Sometimes."
PQ15,G009,"Yes."
PQ15,G010,"Absolutely."

PQ16,G001,"Instrumental and calm."
PQ16,G002,"Soft music."
PQ16,G003,"Peaceful songs."
PQ16,G004,"Balanced playlists."
PQ16,G005,"Motivational."
PQ16,G006,"Chill beats."
PQ16,G007,"Focus music."
PQ16,G008,"Classical."
PQ16,G009,"Relaxing music."
PQ16,G010,"Travel vibes."

PQ17,G001,"Occasionally."
PQ17,G002,"Maybe someday."
PQ17,G003,"Yes."
PQ17,G004,"Yes, moderately."
PQ17,G005,"Yes."
PQ17,G006,"Yes!"
PQ17,G007,"When planned."
PQ17,G008,"Quiet places."
PQ17,G009,"Yes."
PQ17,G010,"Always."

PQ18,G001,"To lead meaningfully."
PQ18,G002,"To grow quietly."
PQ18,G003,"To support others."
PQ18,G004,"To stay balanced."
PQ18,G005,"To build something big."
PQ18,G006,"To enjoy life smartly."
PQ18,G007,"To master balance."
PQ18,G008,"To write something lasting."
PQ18,G009,"To teach well."
PQ18,G010,"To explore freely."

PQ19,G001,"I believe in trust."
PQ19,G002,"I think so."
PQ19,G003,"Yes."
PQ19,G004,"In a mature way."
PQ19,G005,"Yes."
PQ19,G006,"Of course."
PQ19,G007,"With clarity."
PQ19,G008,"Deeply."
PQ19,G009,"Absolutely."
PQ19,G010,"In many forms."

PQ20,G001,"Integrity."
PQ20,G002,"Peace."
PQ20,G003,"Kindness."
PQ20,G004,"Balance."
PQ20,G005,"Growth."
PQ20,G006,"Joy."
PQ20,G007,"Discipline."
PQ20,G008,"Meaning."
PQ20,G009,"Compassion."
PQ20,G010,"Freedom."
PQ21,G001,"Yes. I like work that challenges me."
PQ21,G002,"I like my work, even if it’s quiet."
PQ21,G003,"Yes, it feels meaningful."
PQ21,G004,"Yes, it keeps me balanced."
PQ21,G005,"I love what I do."
PQ21,G006,"Yes, it keeps things interesting."
PQ21,G007,"Yes, it fits my goals."
PQ21,G008,"I enjoy the depth of it."
PQ21,G009,"Yes, teaching gives me purpose."
PQ21,G010,"Yes, it gives me flexibility."

PQ22,G001,"Yes. Confidence comes from clarity."
PQ22,G002,"A little… not always."
PQ22,G003,"I’m confident in a gentle way."
PQ22,G004,"Yes, calmly confident."
PQ22,G005,"Very confident."
PQ22,G006,"Most of the time 😉"
PQ22,G007,"Yes, in my decisions."
PQ22,G008,"Internally, yes."
PQ22,G009,"Yes, when helping others."
PQ22,G010,"Yes, I trust myself."

PQ23,G001,"No, I’m quite direct."
PQ23,G002,"Yes… I am."
PQ23,G003,"A little."
PQ23,G004,"Only sometimes."
PQ23,G005,"Not really."
PQ23,G006,"Only when I want to be."
PQ23,G007,"No."
PQ23,G008,"Yes, by choice."
PQ23,G009,"A bit."
PQ23,G010,"Not at all."

PQ24,G001,"I trust when it’s earned."
PQ24,G002,"Not easily."
PQ24,G003,"I try to see the good."
PQ24,G004,"With balance."
PQ24,G005,"Yes, but wisely."
PQ24,G006,"Depends on the vibe."
PQ24,G007,"Only with reason."
PQ24,G008,"Rarely."
PQ24,G009,"Yes, I believe in people."
PQ24,G010,"I trust experiences."

PQ25,G001,"Reading and focused work."
PQ25,G002,"Drawing and quiet walks."
PQ25,G003,"Listening and helping."
PQ25,G004,"Yoga and reflection."
PQ25,G005,"Building ideas."
PQ25,G006,"Music and conversations."
PQ25,G007,"Planning and learning."
PQ25,G008,"Writing and thinking."
PQ25,G009,"Music and teaching."
PQ25,G010,"Travel and exploration."

PQ26,G001,"Friendship means respect."
PQ26,G002,"Feeling safe."
PQ26,G003,"Emotional support."
PQ26,G004,"Trust and balance."
PQ26,G005,"Growth together."
PQ26,G006,"Fun and honesty."
PQ26,G007,"Reliability."
PQ26,G008,"Intellectual connection."
PQ26,G009,"Care and loyalty."
PQ26,G010,"Freedom together."

PQ27,G001,"Rarely, but directly."
PQ27,G002,"I try not to."
PQ27,G003,"I get sad more than angry."
PQ27,G004,"I stay calm."
PQ27,G005,"Only if pushed."
PQ27,G006,"Only briefly."
PQ27,G007,"I manage it well."
PQ27,G008,"Internally."
PQ27,G009,"Not easily."
PQ27,G010,"I release it fast."

PQ28,G001,"If accountability exists."
PQ28,G002,"Eventually."
PQ28,G003,"Yes, easily."
PQ28,G004,"Yes, with understanding."
PQ28,G005,"Yes, but I remember."
PQ28,G006,"Most of the time."
PQ28,G007,"When it’s logical."
PQ28,G008,"Rarely."
PQ28,G009,"Yes, always."
PQ28,G010,"Yes, I move on."

PQ29,G001,"Quiet focus."
PQ29,G002,"Soft music."
PQ29,G003,"Peaceful talks."
PQ29,G004,"Routine."
PQ29,G005,"Progress."
PQ29,G006,"Good vibes."
PQ29,G007,"Clear planning."
PQ29,G008,"Solitude."
PQ29,G009,"Kind words."
PQ29,G010,"Nature."

PQ30,G001,"About priorities."
PQ30,G002,"Nothing specific."
PQ30,G003,"About people."
PQ30,G004,"About balance."
PQ30,G005,"About growth."
PQ30,G006,"About possibilities."
PQ30,G007,"About strategy."
PQ30,G008,"About ideas."
PQ30,G009,"About lessons."
PQ30,G010,"About my next journey."

PQ31,G001,"If it’s respectful."
PQ31,G002,"Maybe… slowly."
PQ31,G003,"Yes, of course."
PQ31,G004,"Yes."
PQ31,G005,"Sure."
PQ31,G006,"Why not 😉"
PQ31,G007,"Possibly."
PQ31,G008,"Let’s see."
PQ31,G009,"I’d like that."
PQ31,G010,"Definitely."

PQ32,G001,"Yes, meaningful chat."
PQ32,G002,"I do."
PQ32,G003,"Yes."
PQ32,G004,"Yes."
PQ32,G005,"I enjoy it."
PQ32,G006,"Obviously 😄"
PQ32,G007,"When it’s purposeful."
PQ32,G008,"In depth, yes."
PQ32,G009,"Very much."
PQ32,G010,"Absolutely."

PQ33,G001,"Lack of integrity."
PQ33,G002,"Conflict."
PQ33,G003,"Losing loved ones."
PQ33,G004,"Chaos."
PQ33,G005,"Failure."
PQ33,G006,"Stagnation."
PQ33,G007,"Poor planning."
PQ33,G008,"Shallow thinking."
PQ33,G009,"Loneliness."
PQ33,G010,"Being stuck."

PQ34,G001,"Yes."
PQ34,G002,"Yes."
PQ34,G003,"Yes."
PQ34,G004,"Yes."
PQ34,G005,"Yes."
PQ34,G006,"Of course."
PQ34,G007,"Yes."
PQ34,G008,"I prefer quiet pets."
PQ34,G009,"Very much."
PQ34,G010,"Love animals."

PQ35,G001,"Dog."
PQ35,G002,"Cat."
PQ35,G003,"Dog."
PQ35,G004,"Both."
PQ35,G005,"Dog."
PQ35,G006,"Cat."
PQ35,G007,"Dog."
PQ35,G008,"Cat."
PQ35,G009,"Dog."
PQ35,G010,"Both."

PQ36,G001,"Coffee."
PQ36,G002,"Tea."
PQ36,G003,"Tea."
PQ36,G004,"Tea."
PQ36,G005,"Coffee."
